pid,school_name,subject_field,degree,deg_duration
375,Mills College,Bachelor of Arts (B.A.),Mathematics and Computer Science,2011 – 2015
375,Great Bay Community College,,General Studies,2010 – 2010
375,Swarthmore College,,,2014
375,"University of California, Berkeley",,,2013
379,San Francisco Art Institute,MFA,Digital Media,2004 – 2006
379,Mills College,Post-Baccalaureate,Computer Science,2006 – 2008
379,Oakland University,BA,Mathematics with Minors in Studio Art and Art History,1999 – 2004
381,Mills College,Graduate Certificate (now MA),Computer Science,1982 – 1983
381,"University of California, Berkeley",B.A,History,
383,"University of the Pacific, Arthur A. Dugoni School of Dentistry",Doctor of Dental Surgery,,2004 – 2007
383,University of Pennsylvania,Masters of Science in Engineering,Computer Science,1989 – 1992
383,Mills College,Bachelor of Arts (B.A.),Mathematics and Computer Science,
384,Mills College,MA,Interdisciplinary Computer Science,
384,"University of California, Davis",BA,Political Science,
386,VR/AR/MR Community,2018,"Augmented, Virtual & Mixed Reality Design & Development",
386,General Assembly,Digital Marketing,"Strategy, UX & Analytics",2017 – 2017
386,Institute of American Indian and Alaska Native Culture,,Digital Dome – Immersive 360 Video & Motion Graphics,2011 – 2011
386,Bay Area Video Coalition,Media Production Workshops,"Digital Media Design + Motion Graphics, Video Post",1994 – 1999
386,Film Arts Foundation,Independent Filmmaking and Scriptwriting,Film + Video,1990 – 1993
386,Center For Electronic Arts,New Media Design,Emerging Media Design,1998 – 1999
386,Mills College,MA Graduate Fellowship,Interactive Media Arts,1986 – 1988
386,Lynda.com,"UX, UI, iOS, Xcode, Swift, HD Post-Production, Design for Mobile","UX, UI, iOS, Xcode, Swift",2014 – 2017
386,udemy.com,,"tvOS,iOS, OSX, Xcode, Swift",2015 – 2016
386,Apple Developer,,"tvOS, iOS, OSX, Xcode, Swift",2012 – 2016
386,Columbia Digital Storytelling Lab,NA,Sherlock Holmes & the Internet of Things,2015 – 2015
386,California State University-Sacramento,Master's degree,Cultural Anthropology,
386,California State University-Sacramento,Bachelor's degree,Psychology & English,
387,Yale University,Ph.D,English Literature,2005 – 2012
387,"University of California, Berkeley",B.A,English Literature,1998 – 2002
387,Mills College,M.A.,Interdisciplinary Computer Science,
390,UC Santa Barbara,PhD,Computer Science,1998 – 2003
390,UC Santa Barbara,MS,Computer Science,1998 – 2000
390,Mills College,BA,Computer Science,1995 – 1998
392,Lorry I. Lokey Graduate School of Business @ Mills College,Master of Business Administration (MBA),Marketing,2008 – 2011
392,Spelman College,Bachelor of Arts (B.A.),Mathematics,
394,"University of California, Irvine",Agile Project Management Certificate,,
394,Mills College,,Interdisciplinary Computer Science,2002 – 2004
394,"University of California, San Diego",BS,"Cognitive Science, Specializing in Human Computer Interaction",1998 – 2002
394,Arcadia High School,,,1994 – 1998
395,Capitol Technology University,Master of Science (MSc),Cyber and Information Security,2017 – 2018
395,Mills College,Bachelor of Arts (BA),"Technology, Arts and Society",2009 – 2014
395,General Assembly,Certificate of Completion,Full Stack Web Development,2015 – 2016
398,"University of California, Berkeley",Bachelor of Arts (B.A.),Social Welfare,2005 – 2010
398,Mills College,,Computer Science,2013 – 2015
399,Mills College,MA,Interdisciplinary Computer Science,1986 – 1989
399,IRMA,PGDRM,"MBA, Rural Management",1983 – 1985
399,Panjab University,B.Sc.,Sciences,1978 – 1982
399,Sacred Heart Convent School,High School,,1969 – 1978
400,Mills College,MA Interdisciplinary Computer Science,"Computer Science, Education",1989 – 1991
400,Vassar College,BA,Political Science,1980 – 1984
406,Mills College,Bachelor of Arts (B.A.),Computer Science,
406,Berkeley High School,,,
409,Colorado College,BS,"French Literature, Education",
409,Mills College,MA,Computer Science,
409,School for International Training,MAT,"Education, Teaching",
409,Université Paris Sorbonne (Paris IV),Masters,French Language and Literature,
417,gSchool,,Full Stack Web Development,2014 – 2015
417,Mills College,,Computer Science,
417,New Ventures West,,,
417,New Ventures West,,,
421,Carnegie Mellon University,Masters,Human-Computer Interaction,2010 – 2011
421,Mills College,B.A.,Computer Science,2003 – 2005
423,Massachusetts Institute of Technology,MS,Media Arts and Sciences,2004 – 2006
423,Mills College,BA,Computer Science,1996 – 1999
424,Mills College,B A,"Computer Science (major), Biology (former major)",2002 – 2003
424,Merrit College,,Software Development,2001 – 2002
424,Mills College,,Biology,1989 – 1992
425,San Francisco State University,"MA, Education",Instructional Technologies,2011 – 2013
425,Mills College,MA,Interdisciplinary Computer Science,1999 – 2001
425,University of California San Diego,BA,Urban Studies & Planning,1986 – 1990
428,Mills College,M.A.,Interdisciplinary Computer Science,1986 – 1988
428,Mills College,B.A.,Liberal Arts,1981 – 1985
428,California College of the Arts,,Graphic Design,1994 – 1997
428,Western High School,,,
434,Mills College,MA,Interdisciplinary Computer Science,2011 – 2013
434,University of Washington,Certificate,3D Animation for Games,2006 – 2007
434,Scripps College,BA,Fine Art,
441,Mills College,Computer Science,Liberal Arts and Sciences/Liberal Studies,1999 – 2003
441,The University of Edinburgh,Study Abroad,Computer Science,2001 – 2001
446,"University of California, Santa Barbara",Master's degree,Computer Science,2009 – 2012
446,Mills College,B.A. and B.S.,Computer Science and Mathematics,2005 – 2009
452,San Jose State University,Master’s Degree,Computer Science,2016 – 2018
452,Chabot College,Build credits to transfer to graduate school,Computer Science,2014 – 2016
452,Mills College,Post-Baccalaureate Certificate,Computer Science,2012 – 2015
452,San Francisco State University,Bachelor of Arts (BA),Cinematography and Film/Video Production,1998 – 2001
455,University of Maryland at College Park,M.S.,Computer Science,1996 – 1999
455,Mills College,B.A.,Computer Science,1992 – 1996
457,Mills College,MA,Computer Science,
457,San Francisco State University,BA,Geology,
459,Mills College,Bachelor's degree,Computer Science,
459,The George Washington University,Masters in Project Management,Project Management,
460,"University of California, Berkeley, Haas School of Business",Bachelor of Science (B.S.),Accounting/Organizational Behavior,
460,Mills College,Master of Arts (M.A.),Interdisciplinary Computer Science,
463,New York University,BA,Psychology,
463,Mills College,MA,Interdisciplinary Computer Science,
464,Southern Oregon University,Master of Sciece Education,Educational Leadership and Administration,2007 – 2009
464,Mills College,Bachelor of Arts (B.A.),Liberal Studies,1991 – 1994
464,Synergy School,,,
465,"University of California, Berkeley",Masters,Information Management & Systems,2003 – 2005
465,Mills College,MA,Interdisciplinary Computer Science,2001 – 2003
465,Bryn Mawr College,"BA, Cum Laude Honors","History major, Economics minor",
466,Mills College,Bachelor's degree,Computer Science,
466,Prosci,Certified Change Practitioner,,
469,Stanford University,Master of Science (MS),Computer Science,
469,Mills College,Bachelor of Arts (BA),Computer Science,
471,Cornell University - S.C. Johnson Graduate School of Management,MBA,"Finance, Human Resources",
471,Mills College,Bachelors,"Computer Science, Psychology",
473,Cornell University,MS,"Computer Science, Cognitive Studies",1986 – 1992
473,Mills College,"BA, With Honors",Computer Science,1983 – 1986
473,Shawnee Mission East,,,1978 – 1982
475,Mills College,,Computer Science,1981 – 1983
475,Otis College of Art and Design,MFA,Painting,1975 – 1977
475,University of California San Diego,BA,Visual Arts,1973 – 1975
475,"University of California, Riverside",,,
475,Glendale Community College,,,
477,Mills College,Masters,Computer Science,
477,"Aptech Computer Education, India",Higher Diploma in Software Engineering,,
477,University of Madras,Master of Science in Psychology,,
477,University of Madras,Bachelor of Business Administration,,
478,"Mills College, Lorry I. Lokey Graduate School of Business",,,
478,Mills College,MBA,Management/Finance,
480,Mills College,M.A.,Interdisciplinary Computer Science,2009 – 2015
480,"University of California, Berkeley",B.A.,Applied Mathematics,2002 – 2006
481,San Francisco Art Institute,Master of Fine Arts - MFA,Photography,
481,San Jose State University,Master of Library & Information Science - MLIS,Digital Curation,
481,The University of Texas at Austin,Bachelor of Arts - BA,American studies,
485,California College of the Arts,Master of Business Administration (MBA),Design Strategy MBA,2012 – 2014
485,Mills College,Graduate Certificate,Interdisciplinary Computer Science,2003 – 2005
485,Mills College,Bachelor of Arts (B.A.),Psychology Research,2000 – 2003
485,De Anza College,Associate of Arts (A.A.),Liberal Arts and Sciences/Liberal Studies,1996 – 2000
494,Mills College,Bachelor’s Degree,"Art and Technology (Technology Concentration), French and Francophone Studies",2013 – 2017
494,IAU College,Study Abroad Program,Social Sciences and Humanities,2016 – 2016
498,Mills College,Bachelor's Degree,Computer Science,2012 – 2016
498,Mills College,Bachelor’s Degree,Creative Writing,2012 – 2016
499,San Jose State University,MLIS,Library and Information Science,2008 – 2010
499,Université Paris-Sorbonne,,Cours de Langue et Civilisation,2006 – 2006
499,Mills College,B.A.,"History, Computer Science",1996 – 2000
510,University of Southern California,Bachelor of Science (B.S.),Computer Science,2014 – 2017
510,Mills College,Bachelor of Science,Computer Science,2012 – 2014
511,University of San Francisco,MBA,,
511,Mills College,BA,Economic and Computer Science,
515,Mills College,B.A. Honors,Computer Science (GPA: 3.9/4.0),2002 – 2004
515,Instituto Internacional,,,
516,Interaction Design Institute Ivrea,,Interaction Design,2004 – 2005
516,Mills College,B.S.,Computer Science,1987 – 1990
517,Mills College,Bachelor of Arts (BA),"Computer Science, Psychology (minor)",2010 – 2014
517,Mark Keppel High School,"Diploma, General Education",,2006 – 2010
519,Mills College,BA,Computer Science,1988 – 1991
519,Stony Brook University,,,1974 – 1976
521,San Francisco State University,Master of Science (M.S.),Chemistry,2015 – 2017
521,San Francisco State University,Bachelor of Science (B.S.),Biochemistry,2013 – 2015
521,San Francisco State University,Bachelor of Arts (B.A.),Chemistry,2013 – 2015
531,Mills College,Bachelor of Arts (B.A.),Computer Science,2013 – 2020
531,The Marin School,,,2008 – 2012
534,Stellar Career College,Accounting Clerk II,Accounting and Finance,2018 – 2018
534,Mills College,Bachelor of Arts (B.A.),Computer Science,2012 – 2016
535,Wellesley College,Bachelor of Arts (B.A.),Comparative Literature,2008 – 2012
535,Mills College,Postbaccalaureate Certificate > M.A. Degree Candidate,Interdisciplinary Computer Science,2014 – 2019
536,Mills College,Master's Degree in Interdisciplinary Computer Science,,2014 – 2017
536,California State University-Fullerton,,Computer Science Pre-Requirements,2013 – 2014
536,"University of California, Santa Cruz","Molecular, Cell and Developmental Biology B.S.",,2008 – 2013
536,"University of California, Santa Cruz",Education Minor,,2008 – 2013
537,Mills College,Master's degree,Interdisciplinary Computer Science,2014 – 2018
537,Mills College,Bachelor’s Degree,"Political, Legal, and Economic Analysis",2008 – 2012
538,Mills College,Bachelor's degree,Computer Science,2014 – 2015
538,Cornell College,,,2012 – 2013
544,"University of California, Hastings College of the Law",Juris Doctor,Law,2009 – 2011
544,Northeastern University,BA,Majors: Media Studies & Spanish Language; Minor: Gender Studies,2002 – 2006
544,Hackbright Academy,Software engineering fellow,Programming,2013 – 2013
544,"University of Virginia, Semester Abroad in Valencia, Spain",,Semester Abroad,2003 – 2004
551,Mills College,Master's degree,Computer Science,2014 – 2019
551,Udacity,Android Basics Nanodegee,Android Development,2018 – 2018
551,Mills College,Bachelor's degree,Child Development,2013 – 2014
552,Mills College,Master of Arts (M.A.),Computer Science,2014 – 2017
552,"University of California, Berkeley",Bachelor of Arts (B.A.),"English Language and Literature, General",2012 – 2014
553,Mills College,Bachelor's Degree,Computer Science,2014 – 2016
553,Moravian College,,Computer Science,2012 – 2014
554,Mills College,Master of Arts (M.A.),Interdisciplinary Computer Science,2014 – 2016
554,Foothill Community College,,Computer Science,2011 – 2014
554,UC Davis,Bachelor of Science (B.S.),"Neurology, Physiology & Behavior",2007 – 2011
555,Mills College,,Computer Science,2014 – 2016
555,"University of California, Irvine",,Sociology,2009 – 2013
559,Mills College,Master's degree,Interdisciplinary Computer Science,2015 – 2017
559,University of Maryland Baltimore County,,Coursework in Computer Programming,2014 – 2014
559,The Johns Hopkins University,Bachelors,China Studies,2012
560,Hackbright Academy,,Computer Software Engineering,2018 – 2018
560,Mills College,Bachelor's degree,Computer Science,2015 – 2017
560,Laney College,,Communication and Media/Multimedia,2013 – 2014
560,"Natural Gourmet Institute, NY",,Culinary Arts,2002 – 2002
561,Israel Tech Challenge,,Data Science and Cyber Security,2016 – 2017
561,Mills College,Bachelor's degree,Theoretical Mathematics and Computer Science,2010 – 2014
561,AFS Intercultural Exchange: Japan,,,2010 – 2011
561,The San Diego School of Creative and Performing Arts,,,2007 – 2011
562,Mills College,Bachelor's degree,Mathematics and Computer Science,2015 – 2016
562,"University of California, Berkeley",,Integrated Marketing Communication,2012 – 2012
562,Universidade de São Paulo,,,2006 – 2011
563,"University of California, Irvine",Bachelor of Arts (B.A.),Business Administration,2011 – 2015
563,Mills College,Master of Arts (M.A.),Interdisciplinary Computer Science,2015 – 2017
564,Mills College,,Computer Science,2015 – 2018
564,Lake Merritt College,,,2013 – 2015
564,Laney College,,,2013 – 2015
564,College of Alameda,,,2012 – 2015
564,Alameda Science and Technology Institute,High School,,2011 – 2015
565,Mills College,Master's degree,Interdisciplinary Computer Science,2015 – 2016
565,Vassar College,Bachelor of Arts (B.A.),Mathematics,2009 – 2013
566,Mills College,Master’s Degree,Computer Science,2015 – 2016
566,Mills College,Bachelor’s Degree,English Language and Literature/Letters,2011 – 2015
568,Mills College,Master's Degree,Interdisciplinary Computer Science,2015 – 2016
568,Mills College,Bachelor’s Degree,English,2013 – 2015
568,De Anza College,Associate's Degree,"Two degrees, the first in Liberal Arts: Social and Behavioral Sciences, and the second in English.",2010 – 2013
569,Mills College,Master of Arts (M.A.),Computer Science,2015 – 2017
569,San Francisco State University,BA,Broadcast & Electronic Communication Arts,2007 – 2011
569,Archbishop Mitty High School,,,
573,Mills College,Master of Arts (M.A.),Interdisciplinary Computer Science,2015 – 2017
573,Scripps College,Bachelor of Arts (B.A.),English Language and Literature/Letters,2010 – 2014
576,Mills College,,Computer Science,2015 – 2018
576,Aquincum Institute of Technology - Budapest,,Computer Science,2016 – 2016
576,Temple City High School,,,2010 – 2014
577,Mills College,,Computer Science,2014 – 2018
577,Budapest University of Technology and Economics,,Computer Science,2016 – 2016
582,Mills College,Master of Arts (M.A.),Computer Science,2016 – 2017
582,Mills College,Bachelor of Arts (B.A.),"English Language and Literature, General",2012 – 2016
582,University of Sussex,No,English Language and Literature/Letters,2015 – 2015
584,Mills College,Master's Degree,Interdisciplinary Computer Science,2015 – 2016
584,Mills College,Bachelor’s Degree,English,2013 – 2015
584,De Anza College,Associate's Degree,"Two degrees, the first in Liberal Arts: Social and Behavioral Sciences, and the second in English.",2010 – 2013
585,Mills College,Master of Arts - MA,Interdisciplinary Computer Science,2018 – 2019
585,Mills College,Bachelor’s Degree,"English Language and Literature, General",2015 – 2017
585,"University of California, Davis",,Biological Sciences,2008 – 2010
587,Mills College School of Education,Master's degree,Secondary Education and Teaching,2011 – 2012
587,Mills College,Bachelor's degree,Mathematics and Computer Science,2006 – 2011
588,Mills College,MA,Computer Science,
588,Oberlin College,BA,Psychology,
588,"University of California, Berkeley",Certification,Project Management,2011 – 2011
588,Lawrence High School,,,
589,Mills College,Bachelor's degree,Economics & Computer Science,2015 – 2019
589,"University of California, Berkeley",Cross Registration,Engineering,2018 – 2018
589,Irvington High School,,,2012 – 2015
591,"Mills College, Lorry I. Lokey Graduate School of Business",Master's degree,Applied Economics,2018 – 2018
591,Mills College,Bachelor of Arts (B.A.),"Economics, Computer Science",2014 – 2017
592,Mills College,Bachelor of Arts - BA,Economics,2014 – 2018
592,"University of California, Berkeley",,Development Economics and International Development,2016 – 2017
593,Mills College,Bachelor’s Degree,"English Language and Literature, General",2016 – 2018
593,Columbia University in the City of New York,,,2010 – 2012
596,Mills College,Bachelor of Arts (BA),Computer Science,2015 – 2019
596,"Louisiana School for Math, Science, and the Arts (LSMSA)",High School Diploma,College/University Preparatory and Advanced High School/Secondary Diploma Program,2013 – 2015
598,Mills College,Bachelor of Arts (B.A.),Computer Science,2017 – 2019
598,Sacramento City College,,Computer Science,2014 – 2017
599,Mills College,Bachelor of Arts - BA,Computer Science,2016 – 2020
599,Diamond Bar High School,,,2012 – 2016
604,Mills College,Bachelor's degree,Computer Science,2016 – 2018
604,Las Positas College,,,2012 – 2016
609,"Mills College, Lorry I. Lokey Graduate School of Business",Master of Applied Economics - MAE,,2018 – 2019
609,Mills College,Bachelor of Arts - BA,"Computer Science, Economics [Dual Major]",2014 – 2018
610,Mills College,Bachelor of Arts - BA,Computer Science,2015 – 2019
610,Academy of Art University,Associate of Arts - AA,"Fashion, emphasis in Knitwear Design",2012 – 2015
614,Mills College,Graduate Degree,Computer Science,
614,San Francisco State University,Bachelor's Degree,,
615,Mills College,,Interdisciplinary Computer Science,2018 – 2020
615,College of Marin,,Mathematics and Computer Science,2016 – 2018
615,Food Craft Institute,,,2012 – 2012
615,NYU School,,,2005
615,The Institue of Culinary Education,Culinary Program,Culinary Arts/Chef Training,2001 – 2001
615,Parsons School of Design - The New School,BFA,Product Design,1996 – 2001
616,Mills College,Master’s Degree,Computer Science,2016 – 2018
616,The Evergreen State College,Bachelor of Arts (BA),"English, Natural Sciences",2008 – 2011
616,Aragon High School,High School Diploma,,2004 – 2008
617,Mills College,Graduate Certificate,Computer Science,2017 – 2019
617,Wilmington University,Bachelor's Degree,"Finance, General",2010 – 2014
618,Mills College,Master of Arts,Interdisciplinary Computer Science,2018 – 2020
618,Scripps College,Bachelor’s Degree,Psychology & Asian American Studies,2014 – 2018
618,Victoria University of Wellington,Semester abroad,,2017 – 2017
618,Irvine High School,High School,,2010 – 2014
619,Louisiana State University,Bachelor of Arts - BA,"French Language and Literature, Minor in Philosophy",2007 – 2012
619,Université Denis Diderot (Paris VII),,History of Economics and Philosophy,2009 – 2010
619,Stanford University,,"Statistics and Probability, Data Mining and Analysis",2015 – 2015
619,Udacity,Deep Learning Nanodegree Foundations,,2017 – 2017
619,Udacity,Data Analyst Nanodegree,,2016 – 2016
620,UCLA,MA,Linguistics,2006 – 2008
620,The University of Edinburgh,MSc.,Evolution of Language and Cognition,2004 – 2005
621,Mills College,Master's of Art,Interdisciplinary Computer Science,2018 – 2020
621,San Francisco State University,Bachelor’s Degree,Sociology,2012 – 2015
622,Mills College,Master's degree,Interdiscplinary Computer Science,2018 – 2020
622,St. John's College (MD),Bachelor of Arts (B.A.),History of Math and Science; Philosophy,2010 – 2012
622,St. John's College (NM),Bachelor of Arts (B.A.),,2009 – 2010
623,Mills College,Graduate Certificate- Advanced Degree Preperatory Track,Computer Science,2017 – 2019
623,Ohlone College,,Computer Science,2015 – 2017
623,San Francisco State University,Bachelor of Arts (B.A.),Fine and Studio Arts,2009 – 2013
625,Udemy Academy,Certificates,Product Management | GDPR | Optimized Interviewing | SQL,2018 – 2019
625,The Art Institutes,Bachelor of Science (B.S.),Audio Engineering,2010 – 2013
626,American Sentinel University,Master of Science in Nursing,Nursing Education,2017 – 2019
626,Samuel Merritt University,Bachelor's degree,Nursing,2014 – 2015
626,San Francisco State University,Post-bac,Pre-Nursing Studies,2013 – 2014
626,Strayer University,Bachelor of Science (BS),Information Systems Management,2006 – 2012
626,St. John's College (NM),,,2001 – 2003
629,UC Berkeley Extension,Full Stack Coding Boot Camp,Computer Programming,2018 – 2018
629,"Mills College, Lorry I. Lokey Graduate School of Business",Master of Business Administration - MBA,"Business Administration and Management, General",2017 – 2019
629,Mills College,Certificate of Computer Science,Computer Science,2017 – 2019
629,Berkeley City College,N/A,"Business Administration and Management, General",2016 – 2017
629,Fukui University of Technology,Bachelor of Arts,Architecture,2011 – 2015
630,Saint Mary's University,Bachelor’s Degree,Environmental Science,
630,Mills College,Master's degree,Computer Science,2018 – 2020
633,Mills College,,,2017 – 2019
633,University of Birmingham,Graduate Certificate,Computer Science,2015 – 2016
633,"University of California, Berkeley",Bachelor of Arts - BA,Music,2007 – 2011
634,Mills College,Masters,Interdisciplinary Computer Science,2018
634,Mills College,Bachelor of Arts - BA,Art History major and Computer Science minor,2016 – 2018
634,Université Lumière Lyon 2,,"Art history, French language, and studio art",2016 – 2016
634,Università degli Studi della Tuscia,,"Art history, Italian language, and studio art",2016 – 2016
634,Amherst College,,,2015 – 2015
634,Smith College,,Computer Science,2014 – 2015
635,Mills College,Master's degree,Interdisciplinary Computer Science,2016 – 2017
635,University of Oregon,Bachelor of Science (B.S.),"Political Science, Business",2007 – 2011
636,"University of California, Santa Cruz",BA,"English & American Literature, Technology",2001 – 2003
636,Reed College,,,1998 – 2000
637,Mills College,Masters of Arts,Interdisciplinary Computer Science,2016 – 2018
637,Wellesley College,Bachelor of Arts (B.A.),"Art/Art Studies, General",2003 – 2007
637,Victoria University of Wellington,Study Abroad,Classes in Media Studies,2005 – 2006
639,Mills College,Master of Arts - MA,Interdisciplinary Computer Science,2017 – 2018
639,Mills College,Bachelor’s Degree,Biochemistry and Molecular Biology,2015 – 2017
640,The Australian Consortium for 'In-Country' Indonesian Studies,,Bahasa Indonesia,2018 – 2018
640,Mills College,Master’s Degree,Interdisciplinary Computer Science,2016 – 2018
640,Amherst College,Black Studies,"Law, Jurisprudence, and Social Thought",2008 – 2012
640,"Troy High School, Class of 2008",High School Diploma,,2004 – 2008
641,Mills College,Master’s Degree,Interdisciplinary Computer Science,2016 – 2017
641,University of Pennsylvania,BA,Biological Basis of Behavior,2011 – 2015
641,Manheim Township High School,,,2007 – 2011
642,Mills College,Master of Arts - MA,Interdisciplinary Computer Science,2018 – 2019
642,Mills College,Bachelor's degree,Chemistry,2014 – 2018
643,Mills College,Master of Arts (M.A.),Interdisciplinary Computer Science,2016 – 2018
643,Barnard College,,"English Language and Literature, General",
643,Connecticut College,Bachelor of Arts - BA,"English Language and Literature, General",
645,University of the Pacific,Bachelor of Arts (B.A.),Music,2009 – 2014
645,San Diego Miramar College,,Computer and Information Science,2014 – 2015
645,Mills College,Graduate Certificate,Computer Science,2017
646,Hackbright Academy,,Computer Software Engineering,2019 – 2019
646,Mills College,Master of Arts - MA,Interdisciplinary Computer Science,2016 – 2018
646,Udacity,Android Basics,,2018 – 2018
646,College of San Mateo,,Computer and Information Sciences,2014 – 2016
646,Jishou University,Bachelor's degree,Musicology,2006 – 2010
647,Mills College,Master of Arts - MA,Interdisciplinary Computer Science,2017 – 2018
647,Mills College,Bachelor’s Degree,"Women's, Gender, and Sexuality Studies",2015 – 2017
647,Cabrillo College,,,2013 – 2015
648,Mills College,Master's degree,Interdisciplinary Computer Science,2018 – 2019
648,University of San Francisco,,Computer Science,2016 – 2017
648,California State University-East Bay,Bachelor of Science (B.S.),Health/Health Care Administration/Management,2011 – 2013
649,Georgia Institute of Technology,Master's degree,Cybersecurity,2018 – 2021
649,Mills College,"Master's degree, unfinished",Computer Science,2017 – 2018
649,"University of California, Davis",Bachelor's degree,Economics,2010 – 2014
650,Mills College,Master of Arts (M.A.),Interdisciplinary Computer Science,2019
650,Mills College,Bachelor of Science (B.S.),Biopsychology,2014 – 2018
651,Mills College,Master of Arts - MA,Interdisciplinary Computer Science,2017 – 2019
651,Northwestern Polytechnic University,Master of Science - MS,Computer Science,2016 – 2017
651,Central University of Finance and Economics,Bachelor’s Degree,Economics,2011 – 2015
147,University of Washington - Michael G. Foster School of Business,MBA,"Management of Information Systems, Human Resource Management",1988 – 1990
147,Mills College,BA,"Computer Science, Economics",1984 – 1988
150,California College of the Arts,BArch,Architecture,2004 – 2009
150,Mills College,MS,Computer Science,2010
157,Mills College,,Interdisciplinary Computer Science,2007 – 2009
157,UC Santa Barbara,B.A.,History,
549,Mills College,Master of Arts (MA),Interdisciplinary Computer Science,2014 – 2017
549,Mills College,Bachelor of Arts (BA),Sociology and Anthropology,2012 – 2014
549,College of Alameda,Associate's degree,Social Sciences,2005 – 2011
549,Laney College,Associate's degree,Social Sciences,2005 – 2011
549,Berkeley City College,Associate of Arts (AA),Social Sciences,2010 – 2010
572,Mills College,Master's degree,Computer Science,2015 – 2017
572,UCSD,Bachelor of Science (BS),"Microbiology, General",2010 – 2014
580,Mills College,Master's degree,Interdisciplinary Computer Science,2015 – 2016
580,Mills College,Bachelor's degree,Mills College,2011 – 2015
586,Mills College,Master of Arts - MA,Computer Science,2017 – 2019
586,Mills College,Bachelor of Arts - BA,Mathematics,2013 – 2017
624,Mills College,Master of Arts - MA,Interdisciplinary Computer Science,2018 – 2020
624,"University of California, San Diego",Bachelor’s Degree,Bioengineering and Biomedical Engineering,2011 – 2016
624,University of Waikato,Student Exchange,Environmental Studies,2014 – 2014
631,Mills College,Post-Baccalaureate/Master of Arts (MA),Interdisciplinary Computer Science,2018
631,"University of California, Berkeley",Bachelor of Arts - BA,Interdisciplinary Studies,2008
631,Université Sorbonne Nouvelle - Paris 3,Master de lettres (M1 - Littérature Générale et Comparée),Comparative Literature,2012 – 2013
631,New York University,Professional Certificate in Translation,"General Translation: Spanish to English, French to English",2014
631,Southern California School of Interpretation,Certificate in Medical Interpretation: Spanish<>English,,2015
132,Mills College,Master’s Degree,Public Policy,2011 – 2014
132,Mills College,BA,Computer Science,2009 – 2011
357,Mills College,Master's Degree,Interdisciplinary Computer Science,2012 – 2014
357,Mills College,Bachelor's Degree,"Biochemistry and Molecular Biology (BS), French and Francophone Studies (Minor)",2010 – 2014
411,"University of California, Berkeley",PhD,Geography,2005 – 2012
411,Mills College,MA,Interdisciplinary Computer Science,1998 – 2000
411,University of Washington,BS,Engineering,1991 – 1995
427,University of Waterloo,pos-doc,"Systems Design, Computer Science",1994 – 1995
427,Universidade de São Paulo,Doctor in Engineering,"Mechatronics, Robotics, and Automation Engineering",1988 – 1992
427,Mills College,Master's Degree,computer science,1985 – 1987
427,Universidade Federal de Pernambuco,Master's Degree,Fisica Atômica e Molecular,1981 – 1984
427,Universidade Federal da Bahia,Bachelor's Degree,physics,1974 – 1980
462,Mills College,MA,Interdisciplinary Computer Science,2011 – 2012
462,Mills College,BA,English,2007 – 2011
542,Mills College,Bachelor’s Degree,International relations,2014 – 2018
542,King/Drew Magnet High School,High School,,2010 – 2014
595,Mills College,Bachelor of Arts - BA,Public Policy,2015 – 2017
595,California State University-East Bay,Certification,Paralegal Studies,2014
